Segment,Overall,,,,
Client 1618,,,,3632.69,
Client 1619,,,,,3438.41
Client 162,,,,,1769.06
Client 1620,,,922.01,3856.68,1510.9
Client 1621,,,,,13415.35
Client 1622,,,897.77,,
Client 1623,,1949.11,10550.04,1216.23,
Client 1624,,,,,4211.04
Client 1625,,6184.42,,,
Client 1626,,,,2497.76,
Client 1627,,,,393.73,378.95
Client 1628,,8857.3,8545.07,,
Client 1629,,,,195.67,325.44
Client 163,,,58.78,,
Client 1630,,,,95.48,
Client 1631,,,,,1586.69
Client 1632,,,,,3216
Client 1633,,,,825.33,
Client 1634,,,,,1034.81
Client 1635,,,,,4601.86
Client 1636,,,,,638.04
Client 1637,,,3560.42,,
Client 1638,,,,2233.52,
Client 1639,,,,,43121.09
Client 164,,,,,18904.79
Client 1640,,,,236.7,
Client 1641,,1216.01,7153.34,,
Client 1642,,,,8090.06,
Client 1643,,,,2877.29,
Client 1644,,,,,5521.77
Client 1645,,146.07,59.46,,
Client 1646,,5471.55,21884.98,13767.7,32728.03
Client 1647,,,65.69,3109.31,
Client 1648,,,,,264.45
Client 1649,,,,,1066.81
Client 165,,,34675.52,3471.8,
Client 1650,,,,,93316.24
Client 1651,,,,,2876.4
Client 1652,,,,,3135.62
Client 1653,2199.51,239.54,1437.91,,252.21
Client 1654,,,,,29246.45
Client 1655,,,,,1773.8
Client 1656,,,,,12451.39
Client 1657,,,886.04,,
Client 1658,,,,,1770.81
Client 1659,,,9435.47,18193.4,4193.86
Client 166,,,,,3208.48
Client 1660,,7737.48,3188.78,3954.63,52049.86
Client 1661,,,,,236.92
Client 1662,,,,,5273.74
Client 1663,,,,,1348
Client 1664,,,1028.3,,409.94
Client 1665,,,,16066.05,11501.04
Client 1666,,,,5562.84,3242.92
Client 1667,,914.97,,,6038.76
Client 1668,,261.29,,,
Client 1669,,,,,599.8
Client 167,,280.23,4117.12,5983.78,
Client 1670,,,,,179.14
Client 1671,,,,,4522.82
Client 1672,,,,,67198.33
Client 1673,,,,,2535.55
Client 1674,,,,,169.12
Client 1675,,,320.49,4760.4,
Client 1676,,,,,13312.53
Client 1677,,,,182.71,
Client 1678,,1411.71,,,
Client 1679,,2509.05,22985.87,1740.01,5226.16
Client 168,,,,6259.36,1765.93
Client 1680,,,,,4481.26
Client 1681,,,686.02,,
Client 1682,,,1054.68,,
Client 1683,,,,1690.72,
Client 1684,,,,,87.09
Client 1685,,,,,7392.41
Client 1686,,,1054.49,1952.82,
Client 1687,,,4668.13,9301.68,1153
Client 1688,,,,3430.15,2957.34
Client 1689,,,,1017.5,1631.62
Client 169,,,,753.86,
Client 1690,,3521.18,1146.55,,
Client 1691,,,1044.84,,
Client 1692,,,,,1814.06
Client 1693,,,,12623.3,
Client 1694,,,,10035.57,24794.02
Client 1695,,,,,3308.69
Client 1696,,,1752.92,68.83,
