Segment,Small,,,,
Client 185,,,,,3556.5
Client 1850,,,,2940.88,
Client 1852,,,,,7591.89
Client 1855,,,,353.71,
Client 1858,,,,,9885.96
Client 1859,,,,6210.9,
Client 1861,,,,,2242.27
Client 1862,,,14484.07,,
Client 1863,,,,,232.38
Client 1864,,,,597.26,982.4
Client 1865,,,,1009.5,
Client 187,,686.94,,,
Client 1874,,199.12,255.68,,
Client 1876,,,4068.91,,
Client 1877,417.83,228.58,,,
Client 1878,,,,134.62,
Client 1879,,126.43,,,
Client 188,,,,,55.79
Client 1884,,,,260.83,
Client 1885,,3215.24,,,
Client 1886,,,,1723.73,7096.04
Client 1887,,,,,132.77
Client 1888,,,,2150.54,
Client 1891,,,,,126199.82
Client 1892,,,,,9121.8
Client 1894,,,,,4056.66
Client 1895,,601.58,,,
Client 1896,,,,,21419.36
Client 1897,,,,,85.51
Client 1898,,,1864.68,2515.62,657.65
Client 1899,,,,,454.92
Client 190,,,,1590.63,1456.75
Client 1900,,,,,1413.55
Client 1901,,,,727.32,
Client 1908,,,,16587.03,102498.22
Client 1909,,,,619.32,
Client 1910,,,3030.2,,
Client 1911,,,,,146.97
Client 1912,,1496.23,5795.99,,
Client 1914,4071.47,,,,
Client 1915,,,,,12455.52
Client 1916,,,,,8690.33
Client 192,,12159.28,27988.41,12761.6,4718.42
Client 1921,,,,,7458.22
Client 1922,,,,4994.56,3404.79
Client 1924,,,3352.58,,4644.45
Client 1927,,,183.53,,238.57
Client 1930,,,,16240.2,20236.97
Client 1931,,,,,173.42
Client 1934,,,,,16151.4
Client 194,,8781.9,5528,1914.47,
Client 195,,,,2435.02,1748.76
Client 197,,,,,1766.22
Client 1991,,,,,215.36
Client 1993,,,,,23101.5
Client 1994,,,,,3070.74
Client 1995,,,602.56,,
Client 1999,1801.93,1862.67,,,
Client 2,,,,,416.23
Client 2002,,,,167.57,
Client 2006,,,,8736.42,
Client 2008,,,,665.98,
Client 2009,,,1487.78,815.11,17366.44
Client 2010,,,,173.75,
Client 2011,,,,,891.4
Client 2012,,,,,1708.52
Client 2013,,,,6302.07,10854.67
Client 2014,,10772.25,,,
Client 2015,,,,,27760
Client 2016,,,13692.39,3170.12,13006.12
Client 2017,,6803.02,2666.66,,
Client 2018,,,,184.27,
Client 2019,,,,,2917.82
Client 2021,,,,,30254.64
Client 2022,,,,,3235.4
Client 2023,,,,,3298.53
Client 2025,,,57.75,,
Client 2028,,,,,3739.07
Client 2030,,,,644.72,
Client 2033,,,,12590.09,
Client 2034,,,,2178.33,
Client 2036,,,3803.7,288.86,
Client 2037,,,1937.77,677.32,2638.68
Client 2039,,,,,3948.34
Client 2041,,,1594.73,8346.58,30865.27
Client 2045,,,129073.82,48467.64,
Client 205,,,,,931.21
Client 2050,,,,2757.54,
Client 2051,,,,468.22,
Client 2055,,22500,7949.27,1724.68,7461.58
Client 2056,,,,,4309.37
Client 2057,,,9195.94,159.87,887.1
Client 2058,,,,,1332.77
Client 2059,,,277.64,,
Client 2060,,,,,49270
Client 2061,,,,,69.66
Client 2062,,4116.04,,,
Client 2063,,,4326.51,,
Client 2064,,,,2263.1,4381.48
Client 2065,,,3568.56,3068.75,
Client 2067,,1614.18,,,
Client 2070,,,,,695.96
Client 2071,,227.02,,,
Client 2072,,,798.17,,
Client 2075,,,,,7022.01
Client 2076,,,,3311.79,
Client 2077,127.19,,,,
Client 2078,,,,,687.42
Client 2079,,,701.09,,
Client 2080,,,,,1609.07
Client 2085,,,,1209.23,
Client 2086,,,,,9365.57
Client 2087,,,1171.74,,
Client 2088,,,,,313.04
Client 209,,,,,5728.29
Client 2090,,,,13406.17,28505.51
Client 2092,,209.69,,,
Client 2093,,4455.71,4183.52,28196.4,803.45
Client 2094,,,,,10670.85
Client 2095,,,,700.67,
Client 2096,,,,1534.87,
Client 2097,,,,,418.46
Client 2098,,,,383.13,
Client 2099,,,,,174.22
Client 2100,,,,,1652.88
Client 2101,,,,,40681.05
Client 2104,,,,,3308.42
Client 2105,,,,,9543.28
Client 2106,,,12587.84,,
Client 2107,,,,,7101.66
Client 2108,,,2995.53,,
Client 211,,,,223.39,
Client 2110,,,,,4683.15
Client 2111,,,,548.39,
Client 2112,,,,,103340.53
Client 2114,,,,,60779.98
Client 2115,,,1947.2,8466.71,
Client 2116,,,,,1802.72
Client 2121,,55.43,,,
Client 2122,,4909.12,738.37,,20060.26
Client 2123,,6908.89,,,
Client 2125,,,,4852.92,
Client 2126,,,,2051.53,
Client 2127,,,,464.44,
Client 2129,,2102.22,,,
Client 2130,,6469.25,,,
Client 2131,,,1035.88,,
Client 2132,,,,,697.01
Client 2133,,,5007.95,6630.86,12745.34
Client 2136,,,,,26405.6
Client 2138,,,,,1324.56
Client 2139,,,8067.33,,
Client 214,,,,,534.87
Client 2141,,,2063,,61.35
Client 2143,,,,,6890.39
Client 216,,1896.5,3324.47,8073.5,94754.55
Client 221,,,216.47,,
Client 222,,,,427.98,
Client 226,,,,2860.93,8126.31
Client 227,,,,,957.57
Client 228,,,,,3605.88
Client 230,,,,,1691.5
Client 231,,,,,13737.94
Client 232,,,,,945.41
Client 234,,,,,4688.99
Client 235,,,,,3501.95
Client 238,,,3645.78,,
Client 24,,,,,5103.58
Client 241,,,2700,,
Client 244,,,,,1008.53
Client 245,,,,188.97,
Client 247,,,273.23,,
Client 248,1499.92,1046.96,1514.84,934.65,6182.31
Client 249,,,,,1021.24
Client 250,,,,,55.08
Client 252,,,,,152.71
Client 253,,163.19,,,
Client 254,,,,2620.65,
Client 255,,,,2355.5,3039.78
Client 26,,,,15025.95,
Client 265,,,7773.97,,
Client 266,,15932.76,3763.97,5959.05,3594.04
Client 267,,,,181.11,
Client 268,,,,7579,
Client 270,,,,5404.77,774.85
Client 273,,,,,10579.52
Client 274,,,210.17,,
Client 276,,,2678.6,,
Client 277,1851.97,1231.84,,,
Client 278,,,,822.27,1900.41
Client 279,,,,483.07,
Client 28,,9201.64,,,
Client 280,,,,,1216.15
Client 282,,,,,1200.04
Client 283,,,,,328.47
Client 284,,6048.07,,,
Client 288,,,,,1890.99
Client 29,,,,,5493.8
Client 291,,,,27.51,
